[Full Training] Normal loss: 2.2070, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.2738, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.2052, Plan similarity: 0.5000, Random contrast: 0.6250
[Full Training] Normal loss: 0.3047, Plan similarity: 0.5000, Random contrast: 0.4883
[Full Training] Normal loss: 0.2710, Plan similarity: 0.5000, Random contrast: 0.5059
[Full Training] Normal loss: 0.2689, Plan similarity: 0.5000, Random contrast: 0.5977
[Full Training] Normal loss: 0.2579, Plan similarity: 0.5000, Random contrast: 0.6211
[Full Training] Normal loss: 0.2498, Plan similarity: 0.5000, Random contrast: 0.4453
[Full Training] Normal loss: 0.2342, Plan similarity: 0.5000, Random contrast: 0.6055
[Full Training] Normal loss: 0.2214, Plan similarity: 0.5000, Random contrast: 0.4141
[Full Training] Normal loss: 0.3251, Plan similarity: 0.5000, Random contrast: 0.4589
[Full Training] Normal loss: 0.2149, Plan similarity: 0.5000, Random contrast: 0.4883
[Full Training] Normal loss: 0.3468, Plan similarity: 0.5000, Random contrast: 0.4502
[Full Training] Normal loss: 0.3036, Plan similarity: 0.5000, Random contrast: 0.5527
[Full Training] Normal loss: 0.3358, Plan similarity: 0.5000, Random contrast: 0.5268
[Full Training] Normal loss: 0.3363, Plan similarity: 0.5000, Random contrast: 0.5996
[Full Training] Normal loss: 0.2080, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.3160, Plan similarity: 0.5000, Random contrast: 0.5645
[Full Training] Normal loss: 0.2904, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.2945, Plan similarity: 0.5000, Random contrast: 0.4760
[Full Training] Normal loss: 0.2548, Plan similarity: 0.5000, Random contrast: 0.5039
[Full Training] Normal loss: 0.3216, Plan similarity: 0.5000, Random contrast: 0.4945
[Full Training] Normal loss: 0.2391, Plan similarity: 0.5000, Random contrast: 0.6172
[Full Training] Normal loss: 0.1951, Plan similarity: 0.5000, Random contrast: 0.5996
[Full Training] Normal loss: 0.2852, Plan similarity: 0.5000, Random contrast: 0.5801
[Full Training] Normal loss: 0.2217, Plan similarity: 0.5000, Random contrast: 0.5762
[Full Training] Normal loss: 0.2230, Plan similarity: 0.5000, Random contrast: 0.6133
[Full Training] Normal loss: 0.2773, Plan similarity: 0.5000, Random contrast: 0.4961
[Full Training] Normal loss: 0.2104, Plan similarity: 0.5000, Random contrast: 0.5365
[Full Training] Normal loss: 0.2506, Plan similarity: 0.5000, Random contrast: 0.4453
[Full Training] Normal loss: 0.1867, Plan similarity: 0.5000, Random contrast: 0.5098
[Full Training] Normal loss: 0.3405, Plan similarity: 0.5000, Random contrast: 0.6367
[Full Training] Normal loss: 0.3323, Plan similarity: 0.5000, Random contrast: 0.5195
[Full Training] Normal loss: 0.2309, Plan similarity: 0.5000, Random contrast: 0.4941
[Full Training] Normal loss: 0.2357, Plan similarity: 0.5000, Random contrast: 0.5000
[Full Training] Normal loss: 0.2857, Plan similarity: 0.5000, Random contrast: 0.6152
[Full Training] Normal loss: 0.5252, Plan similarity: 0.5000, Random contrast: 0.4141
[Full Training] Normal loss: 0.2804, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.2860, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.3210, Plan similarity: 0.5000, Random contrast: 0.5664
[Full Training] Normal loss: 0.2446, Plan similarity: 0.5000, Random contrast: 0.4662
[Full Training] Normal loss: 0.2246, Plan similarity: 0.5000, Random contrast: 0.5137
[Full Training] Normal loss: 0.2923, Plan similarity: 0.5000, Random contrast: 0.4648
[Full Training] Normal loss: 0.3487, Plan similarity: 0.5000, Random contrast: 0.4955
[Full Training] Normal loss: 0.3215, Plan similarity: 0.5000, Random contrast: 0.5801
[Full Training] Normal loss: 0.2547, Plan similarity: 0.5000, Random contrast: 0.5312
[Full Training] Normal loss: 0.3457, Plan similarity: 0.5000, Random contrast: 0.5195
[Full Training] Normal loss: 0.3235, Plan similarity: 0.5000, Random contrast: 0.4501
[Full Training] Normal loss: 0.3125, Plan similarity: 0.5000, Random contrast: 0.5078
[Full Training] Normal loss: 0.3119, Plan similarity: 0.5000, Random contrast: 0.5312
[Full Training] Normal loss: 0.2478, Plan similarity: 0.5000, Random contrast: 0.6309
[Full Training] Normal loss: 0.2290, Plan similarity: 0.5000, Random contrast: 0.4160
[Full Training] Normal loss: 0.1925, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.2706, Plan similarity: 0.5000, Random contrast: 0.5391
[Full Training] Normal loss: 0.2143, Plan similarity: 0.5000, Random contrast: 0.6387
[Full Training] Normal loss: 0.2943, Plan similarity: 0.5000, Random contrast: 0.5395
[Full Training] Normal loss: 0.3327, Plan similarity: 0.5000, Random contrast: 0.5273
[Full Training] Normal loss: 0.2591, Plan similarity: 0.5000, Random contrast: 0.6133
[Full Training] Normal loss: 0.2771, Plan similarity: 0.5000, Random contrast: 0.5547
[Full Training] Normal loss: 0.2936, Plan similarity: 0.5000, Random contrast: 0.6426
[Full Training] Normal loss: 0.3466, Plan similarity: 0.5000, Random contrast: 0.4121
[Full Training] Normal loss: 0.2313, Plan similarity: 0.5000, Random contrast: 0.5039
[Full Training] Normal loss: 0.2492, Plan similarity: 0.5000, Random contrast: 0.5352
[Full Training] Normal loss: 0.3530, Plan similarity: 0.5000, Random contrast: 0.5229
[Full Training] Normal loss: 0.2073, Plan similarity: 0.5000, Random contrast: 0.3844
[Full Training] Normal loss: 0.4534, Plan similarity: 0.5000, Random contrast: 0.4561
[Full Training] Normal loss: 0.2760, Plan similarity: 0.5000, Random contrast: 0.5273
[Full Training] Normal loss: 0.2750, Plan similarity: 0.5000, Random contrast: 0.5566
[Full Training] Normal loss: 0.3310, Plan similarity: 0.5000, Random contrast: 0.4453
[Full Training] Normal loss: 0.3149, Plan similarity: 0.5000, Random contrast: 0.5180
[Full Training] Normal loss: 0.2627, Plan similarity: 0.5000, Random contrast: 0.4668
[Full Training] Normal loss: 0.2391, Plan similarity: 0.5000, Random contrast: 0.4779
[Full Training] Normal loss: 0.3589, Plan similarity: 0.5000, Random contrast: 0.5195
[Full Training] Normal loss: 0.2777, Plan similarity: 0.5000, Random contrast: 0.5062
[Full Training] Normal loss: 0.1665, Plan similarity: 0.5000, Random contrast: 0.5117
[Full Training] Normal loss: 0.2067, Plan similarity: 0.5000, Random contrast: 0.5684
[Full Training] Normal loss: 0.3169, Plan similarity: 0.5000, Random contrast: 0.5176
[Full Training] Normal loss: 0.2602, Plan similarity: 0.5000, Random contrast: 0.5176
[Full Training] Normal loss: 0.3068, Plan similarity: 0.5000, Random contrast: 0.4805
[Full Training] Normal loss: 0.3895, Plan similarity: 0.5000, Random contrast: 0.5199
[Full Training] Normal loss: 0.3297, Plan similarity: 0.5000, Random contrast: 0.4887
[Full Training] Normal loss: 0.3875, Plan similarity: 0.5000, Random contrast: 0.5801
[Full Training] Normal loss: 0.1827, Plan similarity: 0.5000, Random contrast: 0.4531
[Full Training] Normal loss: 0.3300, Plan similarity: 0.5000, Random contrast: 0.4502
[Full Training] Normal loss: 0.2908, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.2213, Plan similarity: 0.5000, Random contrast: 0.4258
[Full Training] Normal loss: 0.2373, Plan similarity: 0.5000, Random contrast: 0.5840
[Full Training] Normal loss: 0.2797, Plan similarity: 0.5000, Random contrast: 0.5938
[Full Training] Normal loss: 0.2883, Plan similarity: 0.5000, Random contrast: 0.5527
[Full Training] Normal loss: 0.1573, Plan similarity: 0.5000, Random contrast: 0.4707
[Full Training] Normal loss: 0.2801, Plan similarity: 0.5000, Random contrast: 0.5996
[Full Training] Normal loss: 0.2326, Plan similarity: 0.5000, Random contrast: 0.5547
[Full Training] Normal loss: 0.3034, Plan similarity: 0.5000, Random contrast: 0.6289
[Full Training] Normal loss: 0.1858, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.3154, Plan similarity: 0.5000, Random contrast: 0.4297
[Full Training] Normal loss: 0.2880, Plan similarity: 0.5000, Random contrast: 0.5082
[Full Training] Normal loss: 0.2324, Plan similarity: 0.5000, Random contrast: 0.5625
[Full Training] Normal loss: 0.2186, Plan similarity: 0.5000, Random contrast: 0.4902
[Full Training] Normal loss: 0.2707, Plan similarity: 0.5000, Random contrast: 0.4551
[Full Training] Normal loss: 0.3343, Plan similarity: 0.5000, Random contrast: 0.5703
[Full Training] Normal loss: 0.2513, Plan similarity: 0.5000, Random contrast: 0.5160
[Full Training] Normal loss: 0.2231, Plan similarity: 0.5000, Random contrast: 0.5078
[Full Training] Normal loss: 0.2542, Plan similarity: 0.5000, Random contrast: 0.4980
[Full Training] Normal loss: 0.2009, Plan similarity: 0.5000, Random contrast: 0.4824
[Full Training] Normal loss: 0.2040, Plan similarity: 0.5000, Random contrast: 0.4678
[Full Training] Normal loss: 0.3319, Plan similarity: 0.5000, Random contrast: 0.5098
[Full Training] Normal loss: 0.2685, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.3520, Plan similarity: 0.5000, Random contrast: 0.6152
[Full Training] Normal loss: 0.2043, Plan similarity: 0.5000, Random contrast: 0.6133
[Full Training] Normal loss: 0.1815, Plan similarity: 0.5000, Random contrast: 0.5820
[Full Training] Normal loss: 0.2421, Plan similarity: 0.5000, Random contrast: 0.5957
[Full Training] Normal loss: 0.2979, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.3004, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.3607, Plan similarity: 0.5000, Random contrast: 0.6035
[Full Training] Normal loss: 0.2053, Plan similarity: 0.5000, Random contrast: 0.5391
[Full Training] Normal loss: 0.2572, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2965, Plan similarity: 0.5000, Random contrast: 0.5977
[Full Training] Normal loss: 0.2060, Plan similarity: 0.5000, Random contrast: 0.6289
[Full Training] Normal loss: 0.3106, Plan similarity: 0.5000, Random contrast: 0.4639
[Full Training] Normal loss: 0.2548, Plan similarity: 0.5000, Random contrast: 0.5039
[Full Training] Normal loss: 0.2880, Plan similarity: 0.5000, Random contrast: 0.5463
[Full Training] Normal loss: 0.2681, Plan similarity: 0.5000, Random contrast: 0.5195
[Full Training] Normal loss: 0.1860, Plan similarity: 0.5000, Random contrast: 0.4814
[Full Training] Normal loss: 0.3099, Plan similarity: 0.5000, Random contrast: 0.5859
[Full Training] Normal loss: 0.1766, Plan similarity: 0.5000, Random contrast: 0.5859
[Full Training] Normal loss: 0.2843, Plan similarity: 0.5000, Random contrast: 0.6172
[Full Training] Normal loss: 0.1955, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2274, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1816, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.1972, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.3187, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2983, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.3885, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3289, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2336, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2938, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.1839, Plan similarity: 0.5000, Random contrast: 0.4648
[Full Training] Normal loss: 0.2608, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2809, Plan similarity: 0.5000, Random contrast: 0.5469
[Full Training] Normal loss: 0.2836, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.2968, Plan similarity: 0.5000, Random contrast: 0.4082
[Full Training] Normal loss: 0.2777, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.2157, Plan similarity: 0.5000, Random contrast: 0.4824
[Full Training] Normal loss: 0.1503, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.1524, Plan similarity: 0.5000, Random contrast: 0.4336
[Full Training] Normal loss: 0.2628, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.2320, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.2476, Plan similarity: 0.5000, Random contrast: 0.5312
[Full Training] Normal loss: 0.2511, Plan similarity: 0.5000, Random contrast: 0.5469
[Full Training] Normal loss: 0.2795, Plan similarity: 0.5000, Random contrast: 0.4766
[Full Training] Normal loss: 0.1782, Plan similarity: 0.5000, Random contrast: 0.4766
[Full Training] Normal loss: 0.2388, Plan similarity: 0.5000, Random contrast: 0.5605
[Full Training] Normal loss: 0.3206, Plan similarity: 0.5000, Random contrast: 0.4961
[Full Training] Normal loss: 0.3669, Plan similarity: 0.5000, Random contrast: 0.4883
[Full Training] Normal loss: 0.1735, Plan similarity: 0.5000, Random contrast: 0.4062
[Full Training] Normal loss: 0.2387, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.3114, Plan similarity: 0.5000, Random contrast: 0.4844
[Full Training] Normal loss: 0.2367, Plan similarity: 0.5000, Random contrast: 0.5703
[Full Training] Normal loss: 0.2996, Plan similarity: 0.5000, Random contrast: 0.4961
[Full Training] Normal loss: 0.2197, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.2941, Plan similarity: 0.5000, Random contrast: 0.6113
[Full Training] Normal loss: 0.3803, Plan similarity: 0.5000, Random contrast: 0.5312
[Full Training] Normal loss: 0.3448, Plan similarity: 0.5000, Random contrast: 0.5820
[Full Training] Normal loss: 0.2619, Plan similarity: 0.5000, Random contrast: 0.5781
[Full Training] Normal loss: 0.2286, Plan similarity: 0.5000, Random contrast: 0.6523
[Full Training] Normal loss: 0.3828, Plan similarity: 0.5000, Random contrast: 0.5156
[Full Training] Normal loss: 0.2772, Plan similarity: 0.5000, Random contrast: 0.5547
[Full Training] Normal loss: 0.2298, Plan similarity: 0.5000, Random contrast: 0.4789
[Full Training] Normal loss: 0.3859, Plan similarity: 0.5000, Random contrast: 0.4805
[Full Training] Normal loss: 0.2403, Plan similarity: 0.5000, Random contrast: 0.6133
[Full Training] Normal loss: 0.2620, Plan similarity: 0.5000, Random contrast: 0.6250
[Full Training] Normal loss: 0.2349, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.2828, Plan similarity: 0.5000, Random contrast: 0.4941
[Full Training] Normal loss: 0.2972, Plan similarity: 0.5000, Random contrast: 0.4531
[Full Training] Normal loss: 0.2411, Plan similarity: 0.5000, Random contrast: 0.4863
[Full Training] Normal loss: 0.1958, Plan similarity: 0.5000, Random contrast: 0.5684
[Full Training] Normal loss: 0.2530, Plan similarity: 0.5000, Random contrast: 0.4531
[Full Training] Normal loss: 0.3674, Plan similarity: 0.5000, Random contrast: 0.4863
[Full Training] Normal loss: 0.1758, Plan similarity: 0.5000, Random contrast: 0.5781
[Full Training] Normal loss: 0.2147, Plan similarity: 0.5000, Random contrast: 0.5547
[Full Training] Normal loss: 0.1524, Plan similarity: 0.5000, Random contrast: 0.5859
[Full Training] Normal loss: 0.2423, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.2347, Plan similarity: 0.5000, Random contrast: 0.4040
[Full Training] Normal loss: 0.3442, Plan similarity: 0.5000, Random contrast: 0.4936
[Full Training] Normal loss: 0.1926, Plan similarity: 0.5000, Random contrast: 0.4980
[Full Training] Normal loss: 0.2476, Plan similarity: 0.5000, Random contrast: 0.5859
[Full Training] Normal loss: 0.2622, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.1877, Plan similarity: 0.5000, Random contrast: 0.5938
[Full Training] Normal loss: 0.2846, Plan similarity: 0.5000, Random contrast: 0.5898
[Full Training] Normal loss: 0.2381, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2767, Plan similarity: 0.5000, Random contrast: 0.5547
[Full Training] Normal loss: 0.2932, Plan similarity: 0.5000, Random contrast: 0.6133
[Full Training] Normal loss: 0.2913, Plan similarity: 0.5000, Random contrast: 0.5781
[Full Training] Normal loss: 0.2495, Plan similarity: 0.5000, Random contrast: 0.6191
[Full Training] Normal loss: 0.2738, Plan similarity: 0.5000, Random contrast: 0.5014
[Full Training] Normal loss: 0.2096, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.3146, Plan similarity: 0.5000, Random contrast: 0.5469
[Full Training] Normal loss: 0.3327, Plan similarity: 0.5000, Random contrast: 0.6426
[Full Training] Normal loss: 0.2165, Plan similarity: 0.5000, Random contrast: 0.5000
[Full Training] Normal loss: 0.2290, Plan similarity: 0.5000, Random contrast: 0.4805
[Full Training] Normal loss: 0.1774, Plan similarity: 0.5000, Random contrast: 0.4023
[Full Training] Normal loss: 0.2544, Plan similarity: 0.5000, Random contrast: 0.4922
[Full Training] Normal loss: 0.1963, Plan similarity: 0.5000, Random contrast: 0.4746
[Full Training] Normal loss: 0.1898, Plan similarity: 0.5000, Random contrast: 0.4961
[Full Training] Normal loss: 0.2959, Plan similarity: 0.5000, Random contrast: 0.4805
[Full Training] Normal loss: 0.2269, Plan similarity: 0.5000, Random contrast: 0.5508
[Full Training] Normal loss: 0.2916, Plan similarity: 0.5000, Random contrast: 0.5156
[Full Training] Normal loss: 0.2492, Plan similarity: 0.5000, Random contrast: 0.5273
[Full Training] Normal loss: 0.1442, Plan similarity: 0.5000, Random contrast: 0.5234
[Full Training] Normal loss: 0.2961, Plan similarity: 0.5000, Random contrast: 0.6270
[Full Training] Normal loss: 0.2731, Plan similarity: 0.5000, Random contrast: 0.5156
[Full Training] Normal loss: 0.2266, Plan similarity: 0.5000, Random contrast: 0.4297
[Full Training] Normal loss: 0.2342, Plan similarity: 0.5000, Random contrast: 0.5977
[Full Training] Normal loss: 0.1829, Plan similarity: 0.5000, Random contrast: 0.5020
[Full Training] Normal loss: 0.1790, Plan similarity: 0.5000, Random contrast: 0.4258
[Full Training] Normal loss: 0.1781, Plan similarity: 0.5000, Random contrast: 0.4079
[Full Training] Normal loss: 0.1596, Plan similarity: 0.5000, Random contrast: 0.5781
[Full Training] Normal loss: 0.2127, Plan similarity: 0.5000, Random contrast: 0.4531
[Full Training] Normal loss: 0.2066, Plan similarity: 0.5000, Random contrast: 0.4824
[Full Training] Normal loss: 0.2443, Plan similarity: 0.5000, Random contrast: 0.5820
[Full Training] Normal loss: 0.2745, Plan similarity: 0.5000, Random contrast: 0.4961
[Full Training] Normal loss: 0.2996, Plan similarity: 0.5000, Random contrast: 0.5039
[Full Training] Normal loss: 0.2573, Plan similarity: 0.5000, Random contrast: 0.5938
[Full Training] Normal loss: 0.2973, Plan similarity: 0.5000, Random contrast: 0.4589
[Full Training] Normal loss: 0.1970, Plan similarity: 0.5000, Random contrast: 0.4805
[Full Training] Normal loss: 0.2362, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.3138, Plan similarity: 0.5000, Random contrast: 0.6270
[Full Training] Normal loss: 0.3356, Plan similarity: 0.5000, Random contrast: 0.5840
[Full Training] Normal loss: 0.2619, Plan similarity: 0.5000, Random contrast: 0.5625
[Full Training] Normal loss: 0.2467, Plan similarity: 0.5000, Random contrast: 0.4717
[Full Training] Normal loss: 0.2970, Plan similarity: 0.5000, Random contrast: 0.4297
[Full Training] Normal loss: 0.3214, Plan similarity: 0.5000, Random contrast: 0.5703
[Full Training] Normal loss: 0.2019, Plan similarity: 0.5000, Random contrast: 0.5156
[Full Training] Normal loss: 0.2045, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.3047, Plan similarity: 0.5000, Random contrast: 0.5137
[Full Training] Normal loss: 0.2110, Plan similarity: 0.5000, Random contrast: 0.4795
[Full Training] Normal loss: 0.1869, Plan similarity: 0.5000, Random contrast: 0.5414
[Full Training] Normal loss: 0.1635, Plan similarity: 0.5000, Random contrast: 0.4941
[Full Training] Normal loss: 0.2563, Plan similarity: 0.5000, Random contrast: 0.4160
[Full Training] Normal loss: 0.2176, Plan similarity: 0.5000, Random contrast: 0.5742
[Full Training] Normal loss: 0.2082, Plan similarity: 0.5000, Random contrast: 0.5215
[Full Training] Normal loss: 0.2062, Plan similarity: 0.5000, Random contrast: 0.4023
[Full Training] Normal loss: 0.1839, Plan similarity: 0.5000, Random contrast: 0.4883
[Full Training] Normal loss: 0.1808, Plan similarity: 0.5000, Random contrast: 0.3610
[Full Training] Normal loss: 0.1969, Plan similarity: 0.5000, Random contrast: 0.5820
[Full Training] Normal loss: 0.2947, Plan similarity: 0.5000, Random contrast: 0.6328
[Full Training] Normal loss: 0.2253, Plan similarity: 0.5000, Random contrast: 0.5312
[Full Training] Normal loss: 0.2341, Plan similarity: 0.5000, Random contrast: 0.5326
[Full Training] Normal loss: 0.1981, Plan similarity: 0.5000, Random contrast: 0.3993
[Full Training] Normal loss: 0.2924, Plan similarity: 0.5000, Random contrast: 0.5293
[Full Training] Normal loss: 0.2389, Plan similarity: 0.5000, Random contrast: 0.5117
[Full Training] Normal loss: 0.1776, Plan similarity: 0.5000, Random contrast: 0.4727
[Full Training] Normal loss: 0.2503, Plan similarity: 0.5000, Random contrast: 0.5781
[Full Training] Normal loss: 0.3401, Plan similarity: 0.5000, Random contrast: 0.5391
[Full Training] Normal loss: 0.2349, Plan similarity: 0.5000, Random contrast: 0.4727
[Full Training] Normal loss: 0.2005, Plan similarity: 0.5000, Random contrast: 0.4521
[Full Training] Normal loss: 0.2365, Plan similarity: 0.5000, Random contrast: 0.4375
[Full Training] Normal loss: 0.2356, Plan similarity: 0.5000, Random contrast: 0.4140
[Full Training] Normal loss: 0.3145, Plan similarity: 0.5000, Random contrast: 0.3500
[Full Training] Normal loss: 0.3098, Plan similarity: 0.5000, Random contrast: 0.5078
[Full Training] Normal loss: 0.2433, Plan similarity: 0.5000, Random contrast: 0.4082
[Full Training] Normal loss: 0.2565, Plan similarity: 0.5000, Random contrast: 0.4375
[Full Training] Normal loss: 0.1948, Plan similarity: 0.5000, Random contrast: 0.5586
[Full Training] Normal loss: 0.2904, Plan similarity: 0.5000, Random contrast: 0.6367
[Full Training] Normal loss: 0.2264, Plan similarity: 0.5000, Random contrast: 0.5742
[Full Training] Normal loss: 0.1733, Plan similarity: 0.5000, Random contrast: 0.6426
[Full Training] Normal loss: 0.2456, Plan similarity: 0.5000, Random contrast: 0.6035
[Full Training] Normal loss: 0.2173, Plan similarity: 0.5000, Random contrast: 0.4374
[Full Training] Normal loss: 0.2003, Plan similarity: 0.5000, Random contrast: 0.3942
[Full Training] Normal loss: 0.1647, Plan similarity: 0.5000, Random contrast: 0.3552
[Full Training] Normal loss: 0.1605, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.2789, Plan similarity: 0.5000, Random contrast: 0.5000
[Full Training] Normal loss: 0.2934, Plan similarity: 0.5000, Random contrast: 0.4434
[Full Training] Normal loss: 0.2371, Plan similarity: 0.5000, Random contrast: 0.5508
[Full Training] Normal loss: 0.2425, Plan similarity: 0.5000, Random contrast: 0.6387
[Full Training] Normal loss: 0.2413, Plan similarity: 0.5000, Random contrast: 0.6289
[Full Training] Normal loss: 0.2511, Plan similarity: 0.5000, Random contrast: 0.3766
[Full Training] Normal loss: 0.2015, Plan similarity: 0.5000, Random contrast: 0.5605
[Full Training] Normal loss: 0.2455, Plan similarity: 0.5000, Random contrast: 0.4668
[Full Training] Normal loss: 0.2521, Plan similarity: 0.5000, Random contrast: 0.3500
[Full Training] Normal loss: 0.3102, Plan similarity: 0.5000, Random contrast: 0.6406
[Full Training] Normal loss: 0.2240, Plan similarity: 0.5000, Random contrast: 0.5996
[Full Training] Normal loss: 0.2197, Plan similarity: 0.5000, Random contrast: 0.4570
[Full Training] Normal loss: 0.1842, Plan similarity: 0.5000, Random contrast: 0.5312
[Full Training] Normal loss: 0.2124, Plan similarity: 0.5000, Random contrast: 0.5156
[Full Training] Normal loss: 0.1963, Plan similarity: 0.5000, Random contrast: 0.5820
[Full Training] Normal loss: 0.2601, Plan similarity: 0.5000, Random contrast: 0.5469
[Full Training] Normal loss: 0.2145, Plan similarity: 0.5000, Random contrast: 0.4795
[Full Training] Normal loss: 0.2343, Plan similarity: 0.5000, Random contrast: 0.4414
[Full Training] Normal loss: 0.2910, Plan similarity: 0.5000, Random contrast: 0.4531
[Full Training] Normal loss: 0.2751, Plan similarity: 0.5000, Random contrast: 0.5469
[Full Training] Normal loss: 0.1940, Plan similarity: 0.5000, Random contrast: 0.4316
[Full Training] Normal loss: 0.2170, Plan similarity: 0.5000, Random contrast: 0.5189
[Full Training] Normal loss: 0.2556, Plan similarity: 0.5000, Random contrast: 0.6230
[Full Training] Normal loss: 0.3777, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 0.2476, Plan similarity: 0.5000, Random contrast: 0.6465
[Full Training] Normal loss: 0.1881, Plan similarity: 0.5000, Random contrast: 0.6445
[Full Training] Normal loss: 0.2493, Plan similarity: 0.5000, Random contrast: 0.5443
[Full Training] Normal loss: 0.2700, Plan similarity: 0.5000, Random contrast: 0.6094
[Full Training] Normal loss: 0.2030, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2123, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2758, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.1806, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2154, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.3135, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3361, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2394, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.2170, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.2182, Plan similarity: 0.5000, Random contrast: 0.6211
[Full Training] Normal loss: 0.3046, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 0.3323, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.2440, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.2889, Plan similarity: 0.5000, Random contrast: 0.6484
[Full Training] Normal loss: 0.2177, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2385, Plan similarity: 0.5000, Random contrast: 0.6562
[Full Training] Normal loss: 0.2008, Plan similarity: 0.5000, Random contrast: 0.5781
[Full Training] Normal loss: 0.2567, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3117, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.3720, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 0.1531, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1752, Plan similarity: 0.5000, Random contrast: 0.6719
[Full Training] Normal loss: 0.1656, Plan similarity: 0.5000, Random contrast: 0.6250
[Full Training] Normal loss: 0.2154, Plan similarity: 0.5000, Random contrast: 0.6680
[Full Training] Normal loss: 0.3103, Plan similarity: 0.5000, Random contrast: 0.6641
[Full Training] Normal loss: 0.2870, Plan similarity: 0.5000, Random contrast: 0.6875
